"팔남이라니, 그건 아니잖아요!","Ichinomiya Shingo, a young 25 years old, single, company worker, while thinking of tomorrow's busy working day goes to sleep. However, the moment he woke up, it was a room unknown to him. He then learned that he was inside a 6-year-old boy and had taken over his mind.Furthermore, he learned a lot from the memories of the said boy: he was born as the youngest child (8th son and 10th child) of a poor noble family living in the backcountry. Having no administrative skills, he couldn't do anything to manage the vast land his family had. Fortunately, he was blessed with a very rare talent, the talent of magic. Unfortunately, while his talent could bring prosperity to his family, in his situation it only brought disaster.Yes, this is the story of the boy, Wendelin von Benno Baumeister, opening his own path in a harsh world.Original raw",Manga,2015,"[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'type': 'Novel', 'relation': 'Adapted From'}, {'title': 'Hachinan tte, Sore wa nai Deshou! - Hajimari no Monogatari', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'language': 'en'}, {'title': 'Le Huitième fils', 'language': 'fr'}, {'title': 'The 8th Son? Are You Kidding Me?', 'language': 'en'}, {'title': '¿El octavo hijo? ¡Eso no puede ser cierto!', 'language': 'es'}, {'title': 'Восьмой сын? Да не может этого быть!', 'language': 'ru'}, {'title': 'Восьмой сын? Я не могу этого принять!', 'language': 'ru'}, {'title': 'хатинан ттэ, сорэ ва най дэсё:', 'language': 'ru'}, {'title': 'ผมเนี่ยนะ...ชายแปด!', 'language': 'th'}, {'title': '八男って、それはないでしょう!', 'language': 'ja'}, {'title': '八男？别闹了！', 'language': 'zh-cn'}, {'title': '팔남이라니, 그건 아니잖아요!', 'language': 'ko'}]","{'volume': 14, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i454081.jpg,['KUSUMOTO Hiroki'],['Y.A'],"[{'publisher': 'Kadokawa', 'label': ''}]","[{'publisher': 'Kadokawa', 'label': 'Isekai Comic'}, {'publisher': 'Kadokawa', 'label': 'Comic Walker'}]","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Harem', 'Romance', 'Seinen']","[{'volume_start': '', 'anime_start': 1, 'volume_end': '', 'anime_end': 11}]"
Hadaka ni Naretara,,Manga,2004,[],"[{'title': 'Hadaka ni Naretara', 'language': 'en'}, {'title': 'はだかになれたら', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i17145.jpg,['Yukimura'],['YUKIMURA'],"[{'publisher': 'Kasakura Shuppansha', 'label': ''}]",[],"['Shoujo', 'Smut']",[]
Hadaka ni Shinai de!,,Manga,2014,[],"[{'title': 'Hadaka ni Shinai de!', 'language': 'en'}, {'title': '裸にしないで!', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i207905.jpg,['SAKURAI Ryou'],['SAKURAI Ryou'],"[{'publisher': 'Shinkousha', 'label': ''}]","[{'publisher': 'Shinkousha', 'label': 'Comic Chocolat'}, {'publisher': 'Shinkousha', 'label': 'Moca'}]",['Yaoi'],[]
Hadaka no Canvas ni Kuchizuke o,,Manga,2017,[],"[{'title': 'Hadaka no Canvas ni Kuchizuke o', 'language': 'en'}, {'title': '裸のキャンバスにくちづけを', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['MIZUGUCHI Maiko'],['MIZUGUCHI Maiko'],"[{'publisher': 'Kasakura', 'label': ''}]","[{'publisher': 'Kasakura', 'label': 'Zettai Renai Sweet'}]","['Adult', 'Josei', 'Romance', 'Smut']",[]
Hadaka no Ao,,Manga,1993,[],"[{'title': 'Hadaka no Ao', 'language': 'en'}, {'title': 'Hadaka no Ao', 'language': 'so'}, {'title': 'Hadaka no Blue', 'language': 'tl'}, {'title': '裸の青', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194038.jpg,['YANARI Akihisa'],['YANARI Akihisa'],"[{'publisher': 'Shueisha', 'label': ''}]",[],['N/A'],[]
Hadaka no Futari,,Manga,2002,[],"[{'title': 'Hadaka no Futari', 'language': 'en'}, {'title': '裸のふたり', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i228327.jpg,['KAI Tomoaki'],['KAI Tomoaki'],"[{'publisher': 'Kawade Shobo Shinsha', 'label': ''}]",[],['N/A'],[]
Hadaka no Crayon,,Manga,2005,[],"[{'title': 'Hadaka no Crayon', 'language': 'en'}, {'title': '裸のクレヨン', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['KOUGA Saburou'],['KOUGA Saburou'],"[{'publisher': 'Tsukasa Shobou', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Hadaka Ningyou Eida,,Manga,2001,[],"[{'title': 'Hadaka Ningyou Eida', 'language': 'en'}, {'title': 'Ada The Naked Doll', 'language': 'en'}, {'title': 'Hadaka Ningyou Ada', 'language': 'id'}, {'title': '裸人形エイダ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Conodonts'],['Conodonts'],"[{'publisher': 'Sanwa Shuppan', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Hadaka no Joou-sama,,Manga,2016,[],"[{'title': 'Hadaka no Joou-sama', 'language': 'en'}, {'title': 'ハダカの女王様', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i261166.jpg,['kugaru'],['kugaru'],[],[],['Shoujo'],[]
Hadaka no Jou-sama,,Manga,1998,[],"[{'title': 'Hadaka no Jou-sama', 'language': 'en'}, {'title': 'Hadaka no Jyoou-sama', 'language': 'so'}, {'title': 'Naked Queen', 'language': 'en'}, {'title': '裸の女王様', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i302616.jpg,['INUKI Kanako'],['INUKI Kanako'],"[{'publisher': 'Leed', 'label': ''}]","[{'publisher': 'Leed', 'label': 'Kyoufu no Yakata DX'}]","['Horror', 'Shoujo']",[]
Hadaka no Kozue-chan,,Manga,2019,[],"[{'title': 'Hadaka no Kozue-chan', 'language': 'en'}, {'title': 'はだかの梢ちゃん', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,"['Azure (KAGONO Tori)', 'House Saibai Mochi (SHIRATAMA Mochi)']","['Azure (KAGONO Tori)', 'House Saibai Mochi (SHIRATAMA Mochi)']",[],[],"['Hentai', 'Lolicon', 'School Life', 'Yuri']",[]
