"팔남이라니, 그건 아니잖아요!","Ichinomiya Shingo, a young 25 years old, single, company worker, while thinking of tomorrow's busy working day goes to sleep. However, the moment he woke up, it was a room unknown to him. He then learned that he was inside a 6-year-old boy and had taken over his mind.Furthermore, he learned a lot from the memories of the said boy: he was born as the youngest child (8th son and 10th child) of a poor noble family living in the backcountry. Having no administrative skills, he couldn't do anything to manage the vast land his family had. Fortunately, he was blessed with a very rare talent, the talent of magic. Unfortunately, while his talent could bring prosperity to his family, in his situation it only brought disaster.Yes, this is the story of the boy, Wendelin von Benno Baumeister, opening his own path in a harsh world.Original raw",Manga,2015,"[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'type': 'Novel', 'relation': 'Adapted From'}, {'title': 'Hachinan tte, Sore wa nai Deshou! - Hajimari no Monogatari', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'language': 'en'}, {'title': 'Le Huitième fils', 'language': 'fr'}, {'title': 'The 8th Son? Are You Kidding Me?', 'language': 'en'}, {'title': '¿El octavo hijo? ¡Eso no puede ser cierto!', 'language': 'es'}, {'title': 'Восьмой сын? Да не может этого быть!', 'language': 'ru'}, {'title': 'Восьмой сын? Я не могу этого принять!', 'language': 'ru'}, {'title': 'хатинан ттэ, сорэ ва най дэсё:', 'language': 'ru'}, {'title': 'ผมเนี่ยนะ...ชายแปด!', 'language': 'th'}, {'title': '八男って、それはないでしょう!', 'language': 'ja'}, {'title': '八男？别闹了！', 'language': 'zh-cn'}, {'title': '팔남이라니, 그건 아니잖아요!', 'language': 'ko'}]","{'volume': 14, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i454081.jpg,['KUSUMOTO Hiroki'],['Y.A'],"[{'publisher': 'Kadokawa', 'label': ''}]","[{'publisher': 'Kadokawa', 'label': 'Isekai Comic'}, {'publisher': 'Kadokawa', 'label': 'Comic Walker'}]","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Harem', 'Romance', 'Seinen']","[{'volume_start': '', 'anime_start': 1, 'volume_end': '', 'anime_end': 11}]"
Hana Rasen,,Manga,1998,[],"[{'title': 'Hana Rasen', 'language': 'en'}, {'title': '華らせん', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i36024.jpg,['SANAZAKI Harumo'],['SANAZAKI Harumo'],"[{'publisher': 'Akita Shoten', 'label': ''}]",[],['Shoujo'],[]
Hana Shishuu o Anata ni,Collection of short stories:• Hyoujou no Pétrouchka• Natsu no Yoru no Arpeggio• Konayuki no Love-Letter,Manga,1978,[],"[{'title': 'Hana Shishuu o Anata ni', 'language': 'en'}, {'title': '花詩集をあなたに', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i146291.jpg,['TSUJIMURA Hiroko'],['TSUJIMURA Hiroko'],"[{'publisher': 'Kodansha', 'label': ''}]",[],"['Romance', 'Shoujo']",[]
Hana Taiken,,Manga,2000,[],"[{'title': 'Hana Taiken', 'language': 'en'}, {'title': '花体験', 'language': 'zh-cn'}]","{'volume': 2, 'status': 'Complete'}",,['TANAKA Koji'],['TANAKA Koji'],"[{'publisher': 'MediaX', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Hana Shirube,,Manga,1978,[],"[{'title': 'Hana Shirube', 'language': 'en'}, {'title': '花しるべ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i178873.jpg,['NOGAMI Kei'],['NOGAMI Kei'],"[{'publisher': 'Shueisha', 'label': ''}]",[],['Shoujo'],[]
Hana Shounen,,Manga,2005,[],"[{'title': 'Hana Shounen', 'language': 'en'}, {'title': 'Flower Boys', 'language': 'en'}, {'title': '花少年', 'language': 'zh-cn'}, {'title': '花少年-Flower Boys', 'language': 'en'}, {'title': '花少年-Flower Boy’s', 'language': 'en'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194806.jpg,"['Dr. Ten', 'FUJII Fuchio', 'HOSHIZAKI Ryuu', 'KAWANCHA', 'KIJOU Eri', 'MIYASHITA Kitsune', 'OSUSUME Dou', 'SUGAHARA Ryuu', 'TATSUYOSHI', 'YAMANO Kitsune', 'YANAO Rock']","['Anthology', 'Dr. Ten', 'FUJII Fuchio', 'HOSHIZAKI Ryuu', 'Kawancha', 'KIJOU Eri', 'MIYASHITA Kitsune', 'SUGAHARA Ryuu', 'TATSUYOSHI', 'YAMANO Kitsune', 'YANAO Rock']","[{'publisher': 'Kousai Shobou', 'label': ''}]","[{'publisher': 'Kousai Shobou', 'label': 'Boys L'}]","['Comedy', 'Drama', 'Romance', 'Shotacon', 'Smut', 'Yaoi']",[]
Hana to Arashi no Regret,"One day, university student Watase encounters a cat destroying the flower beds in the Faculty of Agriculture. Unfortunately, there was another person there, Kashiwagi Senpai, an eccentric student from the Faculty of Agriculture. Watase is frightened by Kashiwagi, who only cares about researching plants and is making trouble for the cat, and begs Kashiwagi to forgive the cat, saying, ``I'll do anything I want,'' and ends up following Kashiwagi's orders. What awaited him was just a chore, but he gradually became attracted to Kashiwagi while being swayed by his unpredictable actions. Meanwhile, he is told that he is gay, and Kashiwagi casually reveals that he is also gay. Watase's heart is disturbed by his habit of saying, ""I won't lay a hand on you,"" but by his words and deeds that provoke him unconsciously, and by his seductiveness.",Manga,2023,[],"[{'title': 'Hana to Arashi no Regret', 'language': 'en'}, {'title': '花と嵐のリグレット', 'language': 'ja'}, {'title': '花与暴风的遗憾', 'language': 'zh-cn'}, {'title': '花與暴風的遺憾', 'language': 'zh-tw'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i429231.jpg,['OHSHIMA Kamome'],['OHSHIMA Kamome'],"[{'publisher': 'Shu-Cream', 'label': ''}]","[{'publisher': 'Shu-Cream', 'label': 'from RED'}]","['Adult', 'School Life', 'Yaoi']",[]
Hana to Chikyuu,,Manga,2013,[],"[{'title': 'Hana to Chikyuu', 'language': 'en'}, {'title': 'Hana & Earth', 'language': 'en'}, {'title': 'Hana&Earth', 'language': 'en'}, {'title': '花と地球', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i166417.jpg,['UNO Sanae'],['UNO Sanae'],"[{'publisher': 'Akita Shoten', 'label': ''}]","[{'publisher': 'Akita Shoten', 'label': 'Petit Princess'}]","['Josei', 'Romance', 'Slice of Life']",[]
Hana to Alice,1) Hana no Koi2) Hana no Arashi: Himitsu3) Hana no Arashi: Ranbu4) Hana to Alice,Manga,2004,[],"[{'title': 'Hana to Alice', 'language': 'en'}, {'title': '花とアリス', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i22490.jpg,[],['IWAI Shunji'],"[{'publisher': 'Kadokawa Shoten', 'label': ''}]",[],['N/A'],[]
Hana to Arashi to Sono Kokoro e,,Manga,2016,[],"[{'title': 'Hana to Arashi to Sono Kokoro e', 'language': 'en'}, {'title': 'Hana to Arashi to Sono Kokoroe', 'language': 'hr'}, {'title': '花と嵐と其のココロエ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i262771.jpg,['Ni E'],['Ni E'],"[{'publisher': 'Overlap', 'label': ''}]","[{'publisher': 'Overlap', 'label': 'LiQulle'}]",['Yaoi'],[]
Hana to Harinezumi,"From Mangahelpers:Tsukasa is the student council president, and he's very attractive. However, while girls love his looks, he's really unsociable. Lately, he's been showing up at school with wounds on his face. One day, Asada Hana, who has a big crush on Tsukasa, decides to follow him. She learns that he is secretly trying to befriend a stray dog he found, and it bites him a lot. Will this shared secret help Hana get closer to her crush?",Manga,2012,[],"[{'title': 'Hana to Harinezumi', 'language': 'en'}, {'title': 'Flower and Hedgehog', 'language': 'en'}, {'title': '花とハリネズミ', 'language': 'ja'}, {'title': '花与猬', 'language': 'zh-cn'}]","{'volume': 2, 'status': 'Hiatus'}",https://cdn.mangaupdates.com/image/i194812.jpg,['Yamada'],['Yamada'],"[{'publisher': 'Square Enix', 'label': ''}]","[{'publisher': 'Square Enix', 'label': 'Gangan Online'}]","['Comedy', 'Romance', 'School Life', 'Shounen']",[]
Hana to Chouko no Sengoku Meshi,"Hana, a woman with a delusional history who works for a publishing company, and Ms. Choko recreate and report on the ``Sengoku Meshi'' that was actually eaten during the Sengoku period.",Manga,2017,[],"[{'title': 'Hana to Chouko no Sengoku Meshi', 'language': 'en'}, {'title': '花と蝶子の戦国めし', 'language': 'ja'}, {'title': '花と蝶子の戦国めし', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['HINOSHIKA Tamon'],['HINOSHIKA Tamon'],"[{'publisher': 'Houbunsha', 'label': ''}]","[{'publisher': 'Houbunsha', 'label': 'Manga Time Jumbo'}]","['Seinen', 'Slice of Life']",[]
Hana to Eru,Hana comes home to find a maid in her apartment. Drama ensues.,Manga,2015,[],"[{'title': 'Hana to Eru', 'language': 'en'}, {'title': 'Hana and Eru', 'language': 'sv'}, {'title': '英とエル', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i221750.png,['NIINA Ryou'],['Niina Ryou'],[],[],['Drama'],[]
Hana to Gaku,"Masahiro, the delinquent son of a Yakuza leader, and Tsubaki, a famous make-up artist, are in a long-distance Osaka-to-Tokyo relationship. However, Masahiro’s younger brother and Tsubaki’s supporter go in between them. Because of this, Masahiro begins to feel inferior to Tsubaki and worries if it’s okay for him to stay as he is...?!",Manga,2019,"[{'title': 'Moon and Sun', 'type': 'Manga', 'relation': 'ABE Akane) (Main Story'}]","[{'title': 'Hana to Gaku', 'language': 'en'}, {'title': 'Hana to Raku', 'language': 'sw'}, {'title': '華と楽', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i293877.jpg,['ABE Akane'],['ABE Akane'],"[{'publisher': 'Shinshokan', 'label': ''}]","[{'publisher': 'Shinshokan', 'label': 'Dear +'}]","['Romance', 'Smut', 'Yaoi']",[]
하나와 히나는 방과후,"The ""after school love comedy"" story follows Hana, a small, quiet girl who attends a discipline training all-girls school because she was attracted to the cute uniform. She secretly works at a fancy shop as a part-timer, and one day Hina, the school's super-slender beauty, joins as a new employee.",Manga,2015,[],"[{'title': 'Hana to Hina wa Houkago', 'language': 'en'}, {'title': 'Hana & Hina After School', 'language': 'en'}, {'title': 'Hana and Hina After School', 'language': 'en'}, {'title': 'ハナとヒナは放課後', 'language': 'ja'}, {'title': '放学后的花和绯奈', 'language': 'zh-cn'}, {'title': '하나와 히나는 방과후', 'language': 'ko'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i249094.jpg,['MORINAGA Miruku'],['MORINAGA Miruku'],"[{'publisher': 'Futabasha', 'label': ''}]","[{'publisher': 'Futabasha', 'label': 'Comic High!'}, {'publisher': 'Futabasha', 'label': 'Gekkan Action'}]","['Comedy', 'Drama', 'Romance', 'School Life', 'Seinen', 'Yuri']",[]
Hana to Hone,,Manga,2020,[],"[{'title': 'Hana to Hone', 'language': 'en'}, {'title': '花と骨', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i439728.jpg,['KANNARI Bakawo'],['KANNARI Bakawo'],"[{'publisher': 'eBookJapan', 'label': ''}]","[{'publisher': 'eBookJapan', 'label': 'BLfranc'}]","['Drama', 'Yaoi']",[]
Hana to Ikkun,The continuation of Hajime and Hanatarou's romantic adventures.,Manga,2016,"[{'title': 'Hana ni Kuchizuke', 'type': 'Manga', 'relation': 'Prequel'}, {'title': 'Moon and Sun', 'type': 'Manga', 'relation': 'ABE Akane) (Spin-Off'}]","[{'title': 'Hana to Ikkun', 'language': 'en'}, {'title': 'Hana and Ikkun', 'language': 'tl'}, {'title': '花といっくん', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i253987.jpg,['Abe Akane'],['Abe Akane'],"[{'publisher': 'Shinshokan', 'label': ''}]","[{'publisher': 'Shinshokan', 'label': 'Dear +'}]","['Comedy', 'Romance', 'Slice of Life', 'Smut', 'Yaoi']",[]
Hana to Irezumi,,Manga,2022,[],"[{'title': 'Hana to Irezumi', 'language': 'en'}, {'title': '花と刺青', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i399814.jpg,['SUGIMOTO Farina'],['OONO Chita'],"[{'publisher': 'ComicStoc', 'label': ''}]","[{'publisher': 'ComicStoc', 'label': 'Kisscolor'}]","['Josei', 'Romance']",[]
"Hana to Kedamono: Kon'ya, Nikui Otoko no Tsuma ni naru","Cold-blooded millionaire x fallen young lady x contract marriage - a lewd relationship and delusional love that blossoms in the Taisho era] It is the Taisho era, and Kazutaka Dojo, a wealthy man who made his fortune in the mining business, goes to Miya, a daughter of an economically impoverished noble family. An arranged marriage proposal comes up.  When Kazutaka appears at the arranged meeting, he coldly declares, ``You were bought by me with money,'' and violently pushes Miya down, saying ``I'll see if it's worth the money.'' - A sensual love story. The long-awaited manga adaptation of the super popular work “100 Scenes of Love + Otona Love”!",Manga,2022,[],"[{'title': ""Hana to Kedamono: Kon'ya, Nikui Otoko no Tsuma ni naru"", 'language': 'en'}, {'title': '華と獣 ～今夜、憎い男の妻になる', 'language': 'ja'}]","{'volume': 3, 'status': 'Combined, Complete'}",https://cdn.mangaupdates.com/image/i395800.jpg,['Mume'],['Voltage'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Digital Margaret'}]","['Adult', 'Historical', 'Romance']",[]
Hana to Junketsu,"In a world where mankind and vampires live side-by-side, Yayoi can't ignore his feelings for his classmate, Chitose. Chitose is a pure-blooded vampire. Those feelings soon turn to action as the vampire makes it perfectly clear he sees right through Yayoi.Chitose insists that all they're doing is feeding, but the slow, gentle touch of his tongue, the care with which his fangs pierce Yayoi's skin and the warmth of his embrace suggest otherwise...from MANGA.club",Manga,2015,"[{'title': 'Scarlet Freesia', 'type': 'Manga', 'relation': 'Spin-Off'}]","[{'title': 'Hana to Junketsu', 'language': 'en'}, {'title': 'La fleur et le vampire', 'language': 'fr'}, {'title': 'The Vampire and the Virgin Rose', 'language': 'en'}, {'title': 'Цветы и чистая кровь', 'language': 'ru'}, {'title': '花と純潔', 'language': 'ja'}, {'title': '花与纯洁', 'language': 'zh-cn'}, {'title': '花與純潔', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i249622.png,['KATSURA Komachi'],['KATSURA Komachi'],"[{'publisher': 'Printemps Shuppan', 'label': ''}]","[{'publisher': 'Printemps Shuppan', 'label': 'Canna'}]","['School Life', 'Supernatural', 'Yaoi']",[]
Hana to Konjyou,"Hazuki is your normal high school girl who just started working part-time at a flower shop. There, she falls in love at first sight with the gentle and manly Ryo in his National Defense Academy (Boudai) uniform. However, Hazuki, being inexperienced with love and also in awe of Ryo's Boudai uniform, has mistaken her feelings as a sign of her uniform fetish instead. Bouei Daigakkou (The National Defense Academy) is known for being the strictest academy in Japan where future leaders of the Japanese Self-Defense Force attend. With many restrictions such as no sharing an umbrella and of course, no holding hands, love with a Boudai boy is filled with many unique hurdles. What will be the outcome of Hazuki and Ryo's super pure love story? Pixiv Comic  Palcy App",Manga,2019,[],"[{'title': 'Hana to Konjyou', 'language': 'en'}, {'title': 'Hana to Konjou', 'language': 'hr'}, {'title': 'Hana to Konjou: Boudai Danshi ni Koi Shimashita', 'language': 'sw'}, {'title': 'Hana to Konjou: Boudai Danshi ni Koishimashita.', 'language': 'sw'}, {'title': '花と紺青 防大男子に恋しました。', 'language': 'ja'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i336513.jpg,['NISHIGA Hachi'],['NISHIGA Hachi'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Bessatsu Friend'}]","['Romance', 'School Life', 'Shoujo', 'Slice of Life']",[]
Hana to Kurogane,,Manga,2014,[],"[{'title': 'Hana to Kurogane', 'language': 'en'}, {'title': '花と黒鋼', 'language': 'ja'}, {'title': '花与黑钢', 'language': 'zh-cn'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i383763.jpg,['SHINOMARU Nodoka'],['SHINOMARU Nodoka'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Young Magazine the 3rd'}]","['Drama', 'Fantasy', 'Seinen']",[]
Hana to Maru,,Manga,2001,[],"[{'title': 'Hana to Maru', 'language': 'en'}, {'title': 'ハナとマル', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i82200.jpg,['KIHARA Chisato'],['KIHARA Chisato'],"[{'publisher': 'Aoba Shuppan', 'label': ''}]",[],['N/A'],[]
Hana to Mitsubachi,,Manga,2013,[],"[{'title': 'Hana to Mitsubachi', 'language': 'en'}, {'title': 'Flowers and Bees', 'language': 'en'}, {'title': '花とみつばち', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,"['Amano Taiki', 'OXG']","['Amano Taiki', 'OXG']",[],[],"['Adult', 'Hentai']",[]
Hana to Ookami no Teikoku,,Manga,1996,[],"[{'title': 'Hana to Ookami no Teikoku', 'language': 'en'}, {'title': 'The Empire of the Flower and the Wolf', 'language': 'en'}, {'title': 'The Flower and Wolf Empire', 'language': 'en'}, {'title': '花と狼の帝国', 'language': 'ja'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i273750.jpg,['YAMASHITA Tomomi'],['FUJITA Takami'],"[{'publisher': 'Hakusensha', 'label': ''}]",[],"['Drama', 'Historical', 'School Life', 'Shoujo']",[]
Hana to Nostalgia,,Manga,2015,[],"[{'title': 'Hana to Nostalgia', 'language': 'en'}, {'title': '花とノスタルジア', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i454108.jpg,['ONO Anbi'],['ONO Anbi'],"[{'publisher': 'Ichijinsha', 'label': ''}]","[{'publisher': 'Ichijinsha', 'label': 'Gateau'}]","['Romance', 'Slice of Life', 'Yaoi']",[]
Hana to Ooji,"From Ikemen GuysThe prettiest girl in school Aoyanagi Shuu has a secret none can know, that is when she thinks naughty things about boys, her nose bleeds like crazy while ""taking care of things""! In the middle of doing dirty imagination about the black prince Hoshi-kun, Hiragi got caught by Hoshi himself and ends up going out with him!! Thus the start of heart-throbbing rom-com!!",Manga,2018,[],"[{'title': 'Hana to Ooji', 'language': 'en'}, {'title': 'Hana to Ouji to Himitsugoto', 'language': 'hr'}, {'title': '花と王子のヒミツゴト', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i280147.jpg,['KOMORI Ringo'],['KOMORI Ringo'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Betsucomi'}]","['Romance', 'School Life', 'Shoujo']",[]
Hana to Oyogu,"From MangaHelpers:College student Sasakawa Kouta has a high sensitivity to the other-worldly. One day while walking home, he meets a floating young ghost girl named Kikuko. After being scared out of his pants, once he gets to know Kikuko, he realizes that she is not dangerous. With the help of the people around him, Kouta and Kikuko work together to find out why and how Kikuko died and became a ghost. [DrCoke]",Manga,2004,[],"[{'title': 'Hana to Oyogu', 'language': 'en'}, {'title': 'Swim with Flowers', 'language': 'en'}, {'title': '花と泳ぐ', 'language': 'ja'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194815.jpg,['KUCHIHACCHOU Gurigura'],['KUCHIHACCHOU Gurigura'],"[{'publisher': 'Houbunsha', 'label': ''}]","[{'publisher': 'Houbunsha', 'label': 'Manga Time Jumbo'}]",['Seinen'],[]
Hana to Sakazuki,"Ayame is 25 years old. She lost her father fifteen years ago, and is now in search of the pub that she had once frequented with him. Night after night, she stops in at pubs on her way home from work, and on one particular night happens across a man who might be able to help her find what she's missing...",Manga,2014,[],"[{'title': 'Hana to Sakazuki', 'language': 'en'}, {'title': 'Flowers and Pints', 'language': 'en'}, {'title': 'الزهور والمكاييل', 'language': 'ar'}, {'title': '花とサカヅキ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i231817.jpg,['Tsutomu'],['Tsutomu'],"[{'publisher': 'Mag Garden', 'label': ''}]","[{'publisher': 'Mag Garden', 'label': 'Eden'}]","['Drama', 'Seinen', 'Slice of Life']",[]
Hana to Rococo no Memoirs,"""One day, you're sure to become the Queen of France.""In 18th Century Paris... Nicole, a maid, and Jeanne, a socialite, are the best of friends. Nicole's one wish is for the beautiful and clever Jeanne to become the Queen of France, as predicted by a fortune-teller.However, since she's of common birth, Jeanne is scorned by members of the peerage. Unperturbed, Nicole somehow manages to get an invitation to the upcoming masked ball, and both of them sneak in...Do they have a chance at actually meeting Louis XV, the King of France...!?This memoir details the life of the first commoner to be taken as courtesan to a King of France.A tale of romance with connections to both Marie Antoinette and the French Revolution!!from Renta!",Manga,2019,[],"[{'title': 'Hana to Rococo no Memoirs', 'language': 'en'}, {'title': 'The Gilded Flower Memoirs', 'language': 'en'}, {'title': '花とロココのメモワール', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i314360.jpg,['IGARI Soyoko'],['IGARI Soyoko'],"[{'publisher': 'Renta Comics', 'label': ''}]",[],"['Drama', 'Historical', 'Shoujo']",[]
Hana to Ryuu,,Manga,1976,[],"[{'title': 'Hana to Ryuu', 'language': 'en'}, {'title': 'Flower and Dragon', 'language': 'en'}, {'title': '花と竜', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i140745.jpg,['SHIGA Kimie'],['SHIGA Kimie'],"[{'publisher': 'Sobisha', 'label': ''}]",[],['Shoujo'],[]
Hana to Shinobi,"Official English: INKR, AzukiFrom Agent of Change Translations:Kasugami Benio is the sheltered daughter of the richest family in Japan. According to her family tradition, the first man she kisses will be the one she marries. Now that she’s old enough to gain some freedom, Kageshita Tamaki, a handsome playboy is assigned to be her bodyguard… Master x Servant love story starts here!",Manga,2015,[],"[{'title': 'Hana to Shinobi', 'language': 'en'}, {'title': 'A Springtime With Ninjas', 'language': 'en'}, {'title': '花と忍び', 'language': 'ja'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i299030.jpg,['HASEGAKI Narumi'],['HASEGAKI Narumi'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Nakayoshi'}]","['Action', 'Comedy', 'Drama', 'Martial Arts', 'Romance', 'School Life', 'Shoujo']",[]
Hana to Shuraba,"Oka Yuna is a high school freshman who doesn't stand out in class but she's actually a professional manga artist who just got serialised in a shojo manga magazine.One day, her editor introduced an assistant to help her reach her deadline but the person who appeared at her door was a man who definitely doesn't look like your average citizen!",Manga,2020,[],"[{'title': 'Hana to Shuraba', 'language': 'en'}, {'title': 'Spring in the Air and Backs to the Wall', 'language': 'en'}, {'title': '花と修羅場', 'language': 'ja'}]","{'volume': 5, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i377991.jpg,['SUGAWARA Joniel'],['SUGAWARA Joniel'],"[{'publisher': 'Shinchosha', 'label': ''}]","[{'publisher': 'Shinchosha', 'label': 'Comic Nicola'}]","['Comedy', 'Romance', 'Shoujo']",[]
Hana to Squall,,Manga,2015,[],"[{'title': 'Hana to Squall', 'language': 'en'}, {'title': 'Flower & Squall', 'language': 'en'}, {'title': '花とスコール', 'language': 'ja'}, {'title': '花與狂風', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i314029.jpg,['GOTO Misaki'],['GOTO Misaki'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Sho-ComiX'}]","['Romance', 'School Life', 'Shoujo']",[]
Hana to Shokutaku,"At a house with blooming Japanese Stewartia, the one Natsumi meets is…?",Manga,2014,[],"[{'title': 'Hana to Shokutaku', 'language': 'en'}, {'title': 'A Flower and a Table', 'language': 'en'}, {'title': '花と食卓', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i224953.jpg,['BIKKE'],['BIKKE'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Aria'}]","['Romance', 'Shoujo', 'Supernatural']",[]
꽃과 토끼,"1-3) Hana to UsagiOur delivery service's regular customer, Aizawa-san in room 411, is always wearing a rabbit head! Why is he wearing something like that in the first place? Pervert? Everyday he sends or receives delivery but you can't see his face, and he's almost mute, there's nothing scarier than this. But one day, still wearing the rabbit head, he grabbed tightly onto my arm, ""thank you, I'll see you again tomorrow!"" Saying it in such an embarrassed way- My heart beats so fast.Extra - Actually I thought of a good way4) That Smile Once AgainFujimura is a talented pianist who refuses to perform in the school's culture festival despite the student council president, Segawa, trying to convince him daily. Why won't Fujimura perform? And why does Segawa keep on pestering him? 5) Greatest Common DenominatorTatchan and Shouhei are in a relationship. Shouhei wants to ramp it up to the next level, but Tatchan seems hesitant. Is this love just one-sided?",Manga,2013,"[{'title': 'Bokura no Saidai Kouyakusu', 'type': 'Manga', 'relation': 'Spin-Off'}]","[{'title': 'Hana to Usagi', 'language': 'en'}, {'title': 'Flower and Bunny', 'language': 'en'}, {'title': 'Kwiat i królik', 'language': 'pl'}, {'title': 'ดอกไม้กับนายกระต่าย', 'language': 'th'}, {'title': '花とうさぎ', 'language': 'ja'}, {'title': '花与兔', 'language': 'zh-cn'}, {'title': '꽃과 토끼', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i222336.png,['KASHIMA Chiaki'],['KASHIMA Chiaki'],"[{'publisher': 'Kaiohsha', 'label': ''}]","[{'publisher': 'Kaiohsha', 'label': 'Gush'}]","['Comedy', 'Romance', 'Slice of Life', 'Yaoi']",[]
Hana to Wakusei,A collection of two long oneshots.,Manga,2006,[],"[{'title': 'Hana to Wakusei', 'language': 'en'}, {'title': '花と惑星', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i397060.jpg,['TANIKAWA Fumiko'],['TANIKAWA Fumiko'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Cookie'}]","['Romance', 'Shoujo']",[]
꽃과 달,"Kanzaki was picked up by the yakuza Sugawara when he was a youth and managed to survive. Sugawara eventually took over as clan leader, and Kanzaki came to support Sugawara as his right-hand man. However, the clan has already begun to decline, and Kanzaki spends his days cleaning up the mess left behind by the former head of the clan. In the midst of all this, he learns that Sugawara is being held by a yakuza from another clan in to protect the clan. In order to put an end to all this, Kanzaki begins to work alone in the dark... What will become of the twisted love affair between the cold-hearted Yakuza and the aloof gang leader?",Manga,2018,[],"[{'title': 'Hana to Tsuki', 'language': 'en'}, {'title': '花と月', 'language': 'ja'}, {'title': '꽃과 달', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i270394.jpg,['MINESHIMA Nawako'],['MINESHIMA Nawako'],"[{'publisher': 'Kaiohsha', 'label': ''}]","[{'publisher': 'Kaiohsha', 'label': 'Gush'}]","['Romance', 'Yaoi']",[]
