Rising Fighter Takeru,,Manga,1985,[],"[{'title': 'Rising Fighter Takeru', 'language': 'en'}, {'title': 'ライジングファイタータケル', 'language': 'ja'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i125033.jpg,['OKAZAKI Tsuguo'],['OKAZAKI Tsuguo'],"[{'publisher': 'Tokuma Shoten', 'label': '1985'}]","[{'publisher': 'Tokuma Shoten', 'label': 'Shounen Captain'}]","['Martial Arts', 'Shounen', 'Sports']",[]
Risk - Endless Drag Wars,"Every human is going to ruin, a deadly battle with a drug and without a winner.",Manga,2004,[],"[{'title': 'Risk - Endless Drag Wars', 'language': 'en'}, {'title': 'Endless Drug Wars Risk', 'language': 'da'}, {'title': 'Risk - Endless Drug Wars', 'language': 'no'}, {'title': 'リスク ―エンドレス・ドラッグ・ウォーズ', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i39229.jpg,['KASAHARA Rin'],['KASAHARA Rin'],"[{'publisher': 'Nihon Bungeisha', 'label': ''}]","[{'publisher': 'Nihon Bungeisha', 'label': 'Manga Goraku Nexter'}]","['Mature', 'Psychological', 'Seinen']",[]
Risky Call,,Manga,2018,[],"[{'title': 'Risky Call', 'language': 'en'}, {'title': 'リスキーコール', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i284957.png,['Aomaru Nana'],['Aomaru Nana'],"[{'publisher': 'Shinshokan', 'label': ''}]","[{'publisher': 'Shinshokan', 'label': 'Dear +'}]","['Romance', 'Yaoi']",[]
Risky Dogs,,Manga,2023,[],"[{'title': 'Risky Dogs', 'language': 'en'}, {'title': 'リスキードッグス', 'language': 'ja'}, {'title': '危险疯犬', 'language': 'zh-cn'}, {'title': '危險瘋犬', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i442178.jpg,['KUJIRADA Hiroto'],['KUJIRADA Hiroto'],"[{'publisher': 'Julian Publishing', 'label': ''}]","[{'publisher': 'Julian Publishing', 'label': 'Arca Comics'}]","['Comedy', 'Drama', 'Yaoi']",[]
Risky Sugar Spice,,Manga,2022,[],"[{'title': 'Risky Sugar Spice', 'language': 'en'}, {'title': 'リスキーシュガースパイス', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i429043.jpg,['Jita'],['Jita'],"[{'publisher': 'Takeshobo', 'label': ''}]","[{'publisher': 'Takeshobo', 'label': 'Qpa'}]","['Smut', 'Yaoi']",[]
"Risou no Are, Sagashitemasu","""At a rather salacious masquerade party where VIPs and celebrities alike have gathered, businessman Kamiya encounters a magic wand he can’t forget! Hoping to once again submit himself to its magical abilities, Kamiya recruits the help of his ever-present stone-faced secretary, Tachibana, to find the mystery man who possesses it. Just who is the man behind the mask with the wand from beyond, and does Kamiya have a chance of finding him?"" (Sublime)",Manga,2015,[],"[{'title': 'Risou no Are, Sagashitemasu', 'language': 'en'}, {'title': 'Buscando la talla perfecta', 'language': 'es'}, {'title': 'Looking for the Perfect Fit', 'language': 'en'}, {'title': '理想のアレ、探してます', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i262425.png,['TAKATSUKI Noboru'],['TAKATSUKI Noboru'],"[{'publisher': 'Libre Shuppan', 'label': ''}]","[{'publisher': 'Libre', 'label': 'Magazine Be x Boy'}]","['Comedy', 'Smut', 'Yaoi']",[]
Risou ja nai kedo Kimi ga Suki,,Manga,2020,[],"[{'title': 'Risou ja nai kedo Kimi ga Suki', 'language': 'en'}, {'title': '理想じゃないけど君が好き', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i392297.jpg,['Riona'],['Riona'],"[{'publisher': 'Gentosha', 'label': ''}]","[{'publisher': 'Gentosha', 'label': 'Lynx'}]","['Romance', 'Yaoi']",[]
"완벽한 그의 ""크나큰"" 문제","Official Korean Translation: Lezhin, Ridibooks",Manga,2020,[],"[{'title': 'Risou no Hatsu Kare to Hatsujou-chuu. ※ Demo Ouki Sugite Muri Kamo Shiremasen', 'language': 'en'}, {'title': 'I Am in Heat With My Ideal First Boyfriend, but He May Be Too Big for Me', 'language': 'en'}, {'title': 'Risō no Hatsu Kare to Hatsujō-chū. ※ Demo Ōki Sugite Muri Kamo Shiremasen', 'language': 'et'}, {'title': '理想の初カレと発情中。※でも大きすぎて無理かもしれません', 'language': 'ja'}, {'title': '완벽한 그의 ""크나큰"" 문제', 'language': 'ko'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i354482.jpg,['TSUCHIHASHI Akari'],['TSUCHIHASHI Akari'],"[{'publisher': 'Amucomi', 'label': ''}]","[{'publisher': 'Amucomi', 'label': 'Ikenai Airen'}]","['Josei', 'Romance', 'Smut']",[]
"형수의 질척한 안쪽, 끝내주는데?",,Manga,2023,[],"[{'title': 'Risou no Fuufu, Houkai Chuu - Neteiru Otto no Yoko de DQN Gitei ni Nando mo Ikasarete', 'language': 'en'}, {'title': ""My Sister-In-Law's Squishy Insides Are Amazing, Aren't They?"", 'language': 'en'}, {'title': '理想の夫婦、崩壊中〜寝ている夫の横でDQN義弟に何度もイカされて〜', 'language': 'ja'}, {'title': '형수의 질척한 안쪽, 끝내주는데?', 'language': 'ko'}]","{'volume': 0, 'status': ''}",,['Bea'],['Bea'],"[{'publisher': 'FILL-IN', 'label': ''}]","[{'publisher': 'FILL-IN', 'label': 'Kosuri Club'}]","['Adult', 'Hentai']",[]
Risou no Hito,,Manga,2010,[],"[{'title': 'Risou no Hito', 'language': 'en'}, {'title': '理想のひと', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i386749.png,['YAMADA Kouta'],['YAMADA Kouta'],"[{'publisher': 'Libre Shuppan', 'label': ''}]","[{'publisher': 'Libre Shuppan', 'label': 'Magazine Be x Boy'}]",['Yaoi'],[]
Risou no Joushi,,Manga,2014,[],"[{'title': 'Risou no Joushi', 'language': 'en'}, {'title': 'The Perfect Boss', 'language': 'en'}, {'title': '理想の上司', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",,['MUSHA Sabu'],['MUSHA Sabu'],"[{'publisher': 'GOT', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Risou no Kanojo,"Sara and her classmate find themselves taking shelter from the rain and decided to warm up at a nearby hotel. When the guy asks the naive lady for naughty favors, things go more smoothly than he expects!(Source: Irodori Comics)Multi-work series list:1. Girlfriend of My Dreams - Misty Lovemaking With a Proper Lady / Risou no Kanojo ~Choro Kawa Ojou-sama Sara to Love Hotel de Toroama Nuresuke H~ (理想の彼女～ちょろカワお嬢様・紗良とラブホテルでとろあま濡れ透けH～)2. Girlfriend of My Dreams - Secret Sex Life With a Naive Lady / Risou no Kanojo ~Nandemo Ukeirete Kureru Choro Kawa Ojou-sama Sara to Tokoro Kamawazu Toroama Naisho no H~ (理想の彼女～なんでも受け入れてくれるちょろカワお嬢様・紗良と所構わずとろあま内緒のH～)3. Girlfriend of My Dreams - Threesome With Her Sister / Risou no Kanojo 3 ~Choro Kawa Ojou-sama Sara Kanojo Kounin no Shimai Gohoushi H~ (理想の彼女3 ～ちょろカワお嬢様・紗良 彼女公認の姉妹ご奉仕H～)",Manga,2022,"[{'title': 'Risou no Kanojo', 'type': 'Manga', 'relation': 'Alternate Story'}]","[{'title': 'Risou no Kanojo', 'language': 'en'}, {'title': 'Girlfriend of My Dreams', 'language': 'en'}, {'title': 'Ideal Girlfriend', 'language': 'de'}, {'title': 'Ideal Girlfriend ~Choro Kawa Ojou-sama Sara to Love Hotel de Toroama Nuresuke H~', 'language': 'en'}, {'title': 'Risou no Kanojo 3 ~Choro Kawa Ojou-sama Sara Kanojo Kounin no Shimai Gohoushi H~', 'language': 'sw'}, {'title': 'Risou no Kanojo ~Choro Kawa Ojou-sama Sara to Love Hotel de Toroama Nuresuke H~', 'language': 'pt'}, {'title': 'Risou no Kanojo ~Nandemo Ukeirete Kureru Choro Kawa Ojou-sama Sara to Tokoro Kamawazu Toroama Naisho no H~', 'language': 'hr'}, {'title': '理想の彼女', 'language': 'ko'}, {'title': '理想の彼女3 ～ちょろカワお嬢様・紗良 彼女公認の姉妹ご奉仕H～', 'language': 'ja'}, {'title': '理想の彼女～ちょろカワお嬢様・紗良とラブホテルでとろあま濡れ透けH～', 'language': 'ja'}, {'title': '理想の彼女～なんでも受け入れてくれるちょろカワお嬢様・紗良と所構わずとろあま内緒のH～', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['Marimo-ya (MORI Marimo)'],['Marimo-ya (MORI Marimo)'],[],[],"['Adult', 'Hentai', 'Romance']",[]
