Bandai Shuppan,"['Bandai Publishing', 'バンダイ', 'バンダイ出版']",Japanese,
BBB,"['BROAD BAND BANK', 'BROADBAND BANK', '株式会社BBB']",Japanese,https://www.bbbank.jp/
BaroToon,"['BaroToon Comics', 'BaroToon Korea Corporation', '바로지기', '바로툰']",Korean,http://www.barotoon.com/web/
Base Story,"['(주)베이스스토리', 'BaseStory', '베이스스토리']",Korean,
Banluebooks,['บันลือบุ๊คส์'],Thai,
Beijing Lianhe Chuban Gongsi,['北京联合出版公司'],Chinese,http://www.lhcbgs.cn/
Battle Comics,"['BattleComics', 'BattleEnt', '배틀코믹스']",Korean,http://www.battlecomics.co.kr/
Bbuding,"['Honey and Pie', '뿌딩', '허니 앤 파이', '허니앤파이']",Korean,http://bbuding.com/
Bbul Media,"['Bbulmedia', 'Feel', 'Phil', '뿔미디어', '뿔미디어(주)', '필']",Korean,
Benjanet,['N/A'],Japanese,http://www.benjanet.jp/
Beaglee,"['Beaglee Inc.', 'Beaglee, Inc.', 'Beagley', 'Biigurii', 'ビーグリー', '株式会社ビーグリー']",Japanese,https://www.beaglee.com/
Be Beautiful,['美Beautiful'],English,
Beijing Zhongwen Zaixian Wenhua Chuanmei,"['17k', 'Beijing Chinese Online Culture Media', 'Beijing Chinese Online Culture Media Co., Ltd', 'Beijing Zhongwen Zaixian Wenhua Chuanmei Youxian Gongsi', '北京中文在线文化传媒有限公司']",Chinese,https://www.17k.com/
Beanfun,"['Bean Fun', 'Bean.Fun']",Taiwanese,https://comics.beanfun.com/
Before Sunset,['비포선셋'],Korean,
Bentang Pustaka,['Bentang Komik'],Indonesian,
Bento Books,['N/A'],English,http://www.bentobooks.com/
Biblos,"['BIBLIOS', 'Seiji Biblos', 'ビブロス', '青磁ビブロス']",Japanese,
BIGMO,"['Best Ideal Graphic Manage Organize', 'BIGEUMO', 'Bigmo Studio', 'bigmo.studio', '비그모']",Korean,http://bigmo.studio/
Bevy,"['Bevy編集部', '株式会社Bevy']",Japanese,http://www.bevy.co.jp/
Beyond,"['Beyond (비욘드)', 'Beyond(비욘드)', '비욘드']",Korean,
Big Fields Publishing,['N/A'],Japanese,http://bigfp.net
Bio Magazine,['N/A'],Japanese,
Big-Toon,['N/A'],Korean,https://www.big-toon.com
BiliBili Comics,"['BiliBili Comic', 'BilibiliComic', 'BilibiliComics']",English,https://www.bilibilicomics.com/
Biz & Novel,"['Biz & Noble', 'Biz and Noble', 'Biz and Novel', 'NetPublic', '넷퍼블릭', '비즈앤노블']",Korean,
BisouBisou Comics,['N/A'],English,
Big Picture Comics,['빅픽쳐코믹스'],Korean,
Black N,['블랙엔'],Korean,
Bijutsu Shuppansha,"['Bijutsu Shuppan-Sha', 'Heilongjiang Art Press', 'Heilongjiang Fine Arts Publishing House', '美術出版社', '黑龍江美術出版社', '黑龙江美术出版社']",Japanese,http://www.hljmscbs.com/
Black Company,['블랙컴퍼니'],Korean,
Blancia,['블랑시아'],Korean,https://blog.naver.com/blanciatoon
Blast Books,['N/A'],English,http://www.blastbooks.com/
Black Hook Press,['N/A'],English,https://blackhookpress.bigcartel.com/
Biz Japan,['ビズジャパン'],Japanese,
Blaine House,"['Brain House', 'Brainhouse', 'Burein Hausu', 'ブレインハウス']",Japanese,http://www.brainhouse.jp/
Blu,['N/A'],English,
Blank Page Studio,"['BLANKPAGE Studio', '블랭크페이지 스튜디오']",Korean,
Blice,['블라이스'],Korean,https://www.blice.co.kr
BLOVED,"['BELOVED', 'BELOVED Studio', 'BLOVED Studio', '비러브드']",Korean,http://blog.naver.com/bloved_studio
Blaft Publications,['N/A'],English,https://www.blaft.com/
Blue Line Studio,"['(주)블루라인스튜디오', 'Blue Line Studios', 'BlueLine Studio', 'BlueLine Studios', '블루라인스튜디오']",Korean,
Blast Shuppan,"['Blast Publishing', 'ブラスト出版']",Japanese,https://blastpub.jp/
Blue Media,"['(주)The Paran', 'Paran Book', 'Paran Media (II)', 'Paran Media (Saeparan Imagination)', 'Paran Media (Saeparan Sangsang)', 'Studio PARAN', 'The Paran', 'The Paran Company Inc.', 'The Paran Studio Co., Ltd.', '더파란스튜디오', '더파란스튜디오(주)', '파란미디어', '파란미디어(새파란상상)']",Korean,https://cafe.naver.com/paranmedia
BNN Inc.,"['Future Comics', 'futurecomics', 'Fyuuchaa Komikkusu', 'フューチャーコミックス']",Japanese,https://www.futurecomics.com/en/
Bomtoon,"['Bomtoon Taiwan', 'Bomtoon Thailand', 'Bomtoon TW', 'Boomtoon', '봄툰']",Korean,https://www.bomtoon.com/
Bluepic Studio,"['Beullu Pig', 'Beullu Pig Seutyudio', 'Beullupig', 'Beullupigseutyudio', 'Blue Peak', 'Blue Peak Studio', 'Blue Pic', 'Blue Pic Studio', 'Blue Pick', 'Blue Pick Studio', 'Bluepeak', 'Bluepic', 'Bluepick', '블루픽', '블루픽스튜디오']",Korean,http://bluepic.kr
Book Box,"['BB Comics', 'Bookbox']",Korean,
Bluen,"['Beullwien', 'Beulrwien', 'Bluhen', 'Blühen', '블뤼엔']",Korean,
Bluebiru,['N/A'],Indonesian,
Bon Comics,"['Bon Adcom', 'Bon Adcomm', 'Bonadcom', 'BONCOMICS', 'Boncomics1688', 'Bone Adcom', 'Bone Adcomm', 'Bone Comics', 'BONECOMICS', 'Bonecomics1688', '본애드컴', '본코믹스']",Korean,http://bonadcomm.com/
Bola Books,"['BL Book', 'Bola', 'Bola Book']",Korean,
Book Table,"['Ameiro', 'アメイロ', 'ブックテーブル']",Japanese,http://www.booktable.co.jp/
Book Publishing Leto,"['Leto Books', '도서출판 레토', '레토북스']",Korean,https://blog.naver.com/leto_books
BookCube,"['Book Cube', 'Bookcube Networks', '북큐브', '북큐브네트웍스']",Korean,http://www.bookcube.com
Bongkoch,"['Bongkoch Publishing', 'Bongkoch Publishing Co. Ltd.', 'Bongkot', 'บงกช', 'บงกช พับลิชชิ่ง']",Thai,https://www.bongkoch.com/
BookLOUD,"['BookLOUD Inc.', 'ブックラウド', '株式会社ブックラウド']",English,
Book-ing,"['Booking', 'ブッキング', '株式会社ブッキング']",Japanese,http://www.book-ing.co.jp/
Bookman,"['Bookman-sha', 'Bookmansha', 'ブックマン', 'ブックマン社']",Japanese,http://bookman.co.jp/
Broccoli,['Boysenberry'],English,https://www.broccoli.co.jp/
BookLive,"['Blic Publishing', 'Blic Shuppan', 'BLIC-GL', 'Book Live', 'Book Live!', 'BookLive Co., Ltd.', 'BookLive Link', 'BookLive!', 'Brick Publishing', 'Brick Shuppan', 'Kimitowa', 'Live Comics', 'Manga NINO', 'NINO', 'NINO（ニノ）', 'Tsukuru no Mori', 'キミトワ', 'ニノ', 'ブックライブ', 'ブリック出版', 'ライブコミックス', '株式会社BookLive']",Japanese,https://www.booklive.co.jp/
Brachio Academy,['브라키오 아카데미'],Korean,
Brite Shuppan,"['Bright', 'Bright Shuppan', 'Brite', 'Brite Publishing', 'BRITE,co.LTD', 'Rose Key', 'Rose Key Novels', 'ブライト出版']",Japanese,http://www.brite.co.jp/
Bookstream,"['Bugseuteulim', 'Buksseuteurim', '북스트림']",Korean,https://ko-kr.facebook.com/bookstream/
Boom Manga,['N/A'],English,https://www.boommanga.com/
Bookone Creative LTD.,['Bookone'],Chinese,https://www.facebook.com/bookone-146052498741803/
Bronze Shinsha,"['Bronze', 'Bronze-sha', 'Bronzesha', 'Buronzu-sha', 'Buronzusha', 'ブロンズ新社', 'ブロンズ社']",Japanese,https://www.bronze.co.jp/
Booth,['N/A'],Japanese,https://booth.pm/en
BookPal,"['Book Pal', 'Bookpal Comics', 'Drum', '북팔', '북팔코믹스']",Korean,https://novel.bookpal.co.kr/
Breakdown Press,['N/A'],English,http://www.breakdownpress.com
Breathe,"['A-LIST', 'ALIST', 'A·LIST', 'Breath', 'New Episode', 'Roha', '로하', '브리드']",Korean,https://www.breathe.co.kr/home
BROS.COMICS EX,['N/A'],Japanese,http://www.enterbrain.co.jp/bros/
BS Studio,"['BS Webtoon', 'BS_Webtoon']",Japanese,https://kuragebunch.com/info/entry/tateyomibosyu
Bruno Gmünder,"['Bruno Gmuender', 'Bruno Gmunder', 'Bruno Gmünder Group', 'Bruno Gmünder Verlag']",English,http://brunogmuender.com/
Bukingu,['N/A'],Japanese,
Bugu Manhua,['布谷漫画'],Chinese,https://www.bugumanhua.com/
Bucomi,"['B comi', 'B komi', 'B-com', 'B-comi', 'Bコミ']",Japanese,
Bukune,['N/A'],Indonesian,https://bukune.com/
Brown Square,['브라운스퀘어'],Korean,
Buka,"['Buka Manga', 'Buka Manhua', '布卡漫画', '布卡漫畫']",Chinese,http://www.buka.cn
Bunendo,"[""Bu'en Hall"", 'Bunendou', 'Rice River Comics', '文苑堂']",Japanese,http://www.bunendo.com/
Bubbles Zine,['Bubbles Zine Publications'],English,https://www.bubbleszine.com/
Bungeisha,"['Bungeisha Co., Ltd.', 'Bungeisha Peach Bunko', 'Peach Bunko', '文芸社', '文芸社ピーチ文庫']",Japanese,http://www.bungeisha.co.jp/
BumiLangit,['BumiLangit Comics'],Indonesian,https://bumilangit.com/
Bunny & Dragon,"['BNND Webtoon', 'Bunny and Dragon', '바니앤드래곤']",Korean,https://x.com/bunnyndragon
Bunkyosha,"['Bunkyosha Co., Ltd.', 'Bunkyousha', '文響社', '株式会社文響社']",Japanese,https://bunkyosha.com/
Burapat Comics,['Burapat'],Thai,http://www.burapat.com/main.asp
Burst Crisis,['N/A'],English,https://burstcrisis.com/
Bungei Shunjuu,"['Bungei Shunju', 'Bungeishunju', 'Bungeishunjū', '文藝春秋']",Japanese,http://www.bunshun.co.jp/
Bushiroad Works,"['Bushiroad Co., Ltd.', 'Bushiroad Inc.', 'ブシロードワークス', '株式会社ブシロード']",Japanese,https://bushiroad-works.com/
