Hanabatake to Wakarebanashi,"Takuya, Yuiji, and Aki are childhood friends who have always been together. Takuya secretly likes Aki, but she suddenly gets a boyfriend. Takuya nurses his broken heart with Yuiji, who suddenly confesses that he's always liked Takuya.r Ryoutarou, and his brother's boyfriend Nonoyama.Story 1:1. Hanabatake to Wakarebanashi2. From Summer then On3. Our LoveStory 2:4-6. Bye-bye Baby",Manga,2013,[],"[{'title': 'Hanabatake to Wakarebanashi', 'language': 'en'}, {'title': 'Flower Gardens and Goodbyes', 'language': 'en'}, {'title': '花畑と別れ話', 'language': 'ja'}, {'title': '花畑与离别之语', 'language': 'zh-cn'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i296722.jpg,['KOJIMA Lalako'],['KOJIMA Lalako'],"[{'publisher': 'Enterbrain', 'label': ''}]",[],"['Drama', 'School Life', 'Shounen Ai', 'Slice of Life']",[]
Hanagoori,,Manga,2007,[],"[{'title': 'Hanagoori', 'language': 'en'}, {'title': 'Flowers Surrounded by Ice', 'language': 'en'}, {'title': 'Hana Koori', 'language': 'so'}, {'title': 'Hanagohri', 'language': 'tl'}, {'title': 'Hanasui', 'language': 'tl'}, {'title': '花氷', 'language': 'zh-cn'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i21489.jpg,[],['MINAMI Megumu'],"[{'publisher': 'Magazine Magazine', 'label': ''}]",[],['Yaoi'],[]
Hanakage no Kioku,"From Bliss:Arthur and Laurent were childhood friends that grew up together, but they had the difference of a noble and servant status. As they grew older, they came to understand the difference in their stations. Although both of them have affections for each other, such feelings could not be accepted...English publication via Renta!",Manga,2007,[],"[{'title': 'Hanakage no Kioku', 'language': 'en'}, {'title': ""Flower Shadow's Memory"", 'language': 'en'}, {'title': '花影の記憶', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i149319.jpg,['MIENO Saori'],['MIENO Saori'],"[{'publisher': 'Taiyo Tosho', 'label': ''}]","[{'publisher': 'Taiyo Tosho', 'label': 'HertZ'}]","['Drama', 'Historical', 'Slice of Life', 'Yaoi']",[]
Hanairo Shoujo,Ch1: Aster RevelationCh2: Tuberose TemptationCh3: Bitter CressCh4: The After School BellflowerCh5: Spring Mountain AndromedaCh6: JasmineCh7: AlstroemeriaCh8: Blue FigCh9: The Enema Salesman GirlCh10: Telephone ShockingCh11: Ambrosia,Manga,2014,[],"[{'title': 'Hanairo Shoujo', 'language': 'en'}, {'title': 'Flower-colored Girls', 'language': 'en'}, {'title': 'Hanairo Girl', 'language': 'pt'}, {'title': '花色少女', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",,['Yoshino'],['Yoshino'],"[{'publisher': 'Akaneshinsha', 'label': ''}]","[{'publisher': 'Akaneshinsha', 'label': 'Comic LO'}]","['Adult', 'Hentai', 'Lolicon']",[]
Hanako Goku,,Manga,1985,[],"[{'title': 'Hanako Goku', 'language': 'en'}, {'title': 'Flower Love Prison', 'language': 'en'}, {'title': '花恋獄', 'language': 'zh-cn'}]","{'volume': 1, 'status': 'Complete'}",,['KAWASAKI Mieko'],"['MIYATA Kiyoshi', 'YAMANA Souichi']","[{'publisher': 'Kosaido Shuppan', 'label': ''}]","[{'publisher': 'Kosaido Shuppan', 'label': 'Kousaidou Comics'}]","['Adult', 'Hentai']",[]
Hanakotoba,"(From Lililicious)Flower Language is an original doujinshi from Sakuraike, perhaps better known for their Tact series. It features a very funny series of four-panel strips about a duo of girls (one straight, one gay) who draw yuri doujinshi together. It also includes a couple of other stories-- a short unrequited love story, and a longer story about a couple planning a double suicide together (which is actually much more upbeat than it sounds, trust me).""Original"" doujinshi by the circle Sakuraike.",Manga,,[],"[{'title': 'Hanakotoba', 'language': 'en'}, {'title': 'Flower Language', 'language': 'en'}, {'title': 'ハナコトバ', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i100690.jpg,"['MITOU Kana', 'Sakuraike']","['KITAO Taki', 'Sakuraike']",[],[],"['Comedy', 'Drama', 'Shoujo Ai']",[]
Hanameguri Awase,"From Phoenix Serenade Scans:A story which takes place in the Meiji Era. Hozumi Kyou, a poor 13-year-old countryside girl, is leaving her town and going to Tokyo to go to apprenticeship. Kyou is determined to earn a lot of money so that she can buy medicine in to heal her mother's blindness.She gets lost in Tokyo where soon she meets a young man...who might help her with her apprenticeship? But there are some hurdles in the way...",Manga,2012,[],"[{'title': 'Hanameguri Awase', 'language': 'en'}, {'title': ""Flower's Fate"", 'language': 'en'}, {'title': ""Flowers' Chance"", 'language': 'en'}, {'title': 'Hana Meguri Awase', 'language': 'id'}, {'title': 'Hana Meguriawase', 'language': 'id'}, {'title': 'The Fate of Flowers', 'language': 'en'}, {'title': '明治浪漫花綺譚', 'language': 'ko'}, {'title': '花めぐりあわせ', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194931.jpg,['MOCHIDA Aki'],['MOCHIDA Aki'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Ribon'}]","['Historical', 'Romance', 'Shoujo']",[]
Hanamachi Oni,"Yoshiwara in  the Edo era. It seems that there is a mysterious man in the corner of the Hanai area that can fulfill any ""desire"" ...",Manga,2013,[],"[{'title': 'Hanamachi Oni', 'language': 'en'}, {'title': 'Flower District Demon', 'language': 'en'}, {'title': '花街鬼', 'language': 'zh-cn'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i287279.jpg,['SAKURADA Hina'],['SAKURADA Hina'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Cheese!'}]","['Drama', 'Historical', 'Psychological', 'Romance', 'Shoujo', 'Supernatural', 'Tragedy']",[]
Hananusubito,"Arima is a Flower Thief, or a marriage swindler; a person whose goal is to make rich and lonely women fall in love with him so he can use them for their money. Even with his extraordinary good looks, he always seems to end up getting dumped because of his naive and clumsy personality. But one day he encounters a girl who is immune to his charms…",Manga,2010,[],"[{'title': 'Hananusubito', 'language': 'en'}, {'title': 'The Flower Thief', 'language': 'en'}, {'title': '花盗人', 'language': 'zh-cn'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i121324.jpg,['TSUKUBA Sakura'],['TSUKUBA Sakura'],"[{'publisher': 'Hakusensha', 'label': ''}]","[{'publisher': 'Hakusensha', 'label': 'Melody'}]","['Romance', 'Shoujo']",[]
Hanaoni Tobira no Sakaimeya-san,"Official English: Azuki“To all the yokai, I am here to make sure you live peacefully together with the humans.”Minoru Hanabusa is in charge of teaching the yokai that enter the human world how to live peacefully alongside humans. Join him as he teaches yokai how to use their unique abilities and interests to build a meaningful life in the human world in this feel-good manga about what it truly means to be human.-----Antisense Scanslations:All demons desire to become part of human society, but what's a demon to do if he's so powerful he's too worried to touch anyone?  Or if a bird demon who can't walk wants to visit someone's grave?  With the help of a friend, a boy helps the demons that cross the gate.",Manga,2012,[],"[{'title': 'Hanaoni Tobira no Sakaimeya-san', 'language': 'en'}, {'title': 'Flower Demon Door of the Sakaimeya', 'language': 'en'}, {'title': 'Hana Oni Tobira no Sakai Meya-san', 'language': 'tl'}, {'title': 'The Border Shop at Flower Demon Gate', 'language': 'en'}, {'title': '花鬼扉の境目屋さん', 'language': 'ja'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i218679.png,['OIKAWA Mako'],['OIKAWA Mako'],"[{'publisher': 'Tokuma Shoten', 'label': ''}]","[{'publisher': 'Tokuma Shoten', 'label': 'Web Comic Zenyon'}]","['Fantasy', 'Slice of Life']",[]
